country_name,2024_population
Afghanistan,42559143
Albania,2829756
Algeria,45801452
American Samoa,43914
Andorra,80088
Angola,36999019
Anguilla,15899
Argentina,45855271
Armenia,2777970
Aruba,106277
Australia,26513343
Austria,8964326
Azerbaijan,10427855
Bahrain,1489086
Bangladesh,173452481
Barbados,281995
Belarus,9485717
Belgium,11694189
Belize,412614
Benin,13815680
Bermuda,64069
Bhutan,789213
Bolivia,12439550
Botswana,2687873
Brazil,216773932
Brunei,453418
Bulgaria,6663569
Burkina Faso,23416943
Burundi,13337834
Cambodia,16995805
Cameroon,28857469
Canada,38874305
Cape Verde,600471
Cayman Islands,69310
Central African Republic,5789716
Chad,18437765
Chile,19637639
China,1425570289
Colombia,52156717
Comoros,856547
Cook Islands,17044
Costa Rica,5222011
Cote D'Ivoire (Ivory Coast),29078738
Croatia,4002356
Cuba,11189083
Curaçao,192077
Cyprus,1262821
Czech Republic,10497978
Denmark,5918962
Djibouti,1140927
Dominica,73040
Dominican Republic,11361592
East Timor,1365962
Ecuador,18244146
Egypt,113209394
El Salvador,6373887
Equatorial Guinea,1726298
Eritrea,3767683
Estonia,1321871
Ethiopia,127428581
Falkland Islands,3791
Faroe Islands,53270
Fiji Islands,938164
Finland,5546369
France,64792359
French Polynesia,309766
Gabon,2449981
Gambia The,2792844
Georgia,3723810
Germany,83283901
Ghana,34306224
Gibraltar,32688
Greece,10330545
Greenland,56643
Grenada,126183
Guam,172952
Guatemala,18163575
Guinea,14285415
Guinea-Bissau,2163363
Guyana,815623
Haiti,11765009
Honduras,10641199
Hong Kong S.A.R.,7493398
Hungary,10105260
Iceland,376212
India,1432369690
Indonesia,278184326
Iran,89358795
Iraq,45792546
Ireland,5066773
Israel,9212978
Italy,58822466
Jamaica,2825544
Japan,123107591
Jordan,11349573
Kazakhstan,19666556
Kenya,55410037
Kiribati,134409
Kuwait,4321735
Kyrgyzstan,6764861
Laos,7663293
Latvia,1824845
Lebanon,5313684
Lesotho,2337473
Liberia,5451469
Libya,6909853
Liechtenstein,39584
Lithuania,2711197
Luxembourg,656557
Macau S.A.R.,706832
Madagascar,30531436
Malawi,21082899
Malaysia,34412271
Maldives,520127
Mali,23494930
Malta,535958
Marshall Islands,41996
Martinique,366981
Mauritania,4899658
Mauritius,1300557
Mayotte,338678
Mexico,128722982
Micronesia,115224
Moldova,3401051
Monaco,36297
Mongolia,3460572
Montenegro,626485
Montserrat,4386
Morocco,37947368
Mozambique,34167453
Myanmar,54689793
Namibia,2614904
Nauru,12780
Nepal,30994970
Netherlands,17633503
New Caledonia,293885
New Zealand,5239727
Nicaragua,7074035
Niger,27489934
Nigeria,225307167
Niue,1935
North Korea,26185863
North Macedonia,2083890
Northern Mariana Islands,49796
Norway,5485987
Oman,4664060
Pakistan,241822735
Palau,18058
Palestinian Territory Occupied,5406110
Panama,4485080
Papua new Guinea,10382699
Paraguay,6885672
Peru,34446627
Philippines,117839107
Poland,40770278
Portugal,10240450
Puerto Rico,3262997
Qatar,2722652
Romania,19800692
Russia,144303049
Rwanda,14185014
Saint Lucia,180251
Saint-Martin (French part),32077
Samoa,226575
San Marino,33642
Saudi Arabia,37098173
Senegal,17891952
Serbia,7131190
Seychelles,107660
Sierra Leone,8843860
Singapore,6025455
Slovakia,5765685
Slovenia,2119675
Solomon Islands,744896
Somalia,18300786
South Africa,60569220
South Korea,51773327
South Sudan,11140669
Spain,47507107
Sri Lanka,21909678
Sudan,48461386
Suriname,625025
Sweden,10629973
Switzerland,8812768
Syria,23548091
Taiwan,23931325
Tajikistan,10197205
Tanzania,67994402
Thailand,71828110
The Bahamas,413517
Togo,9111933
Tokelau,1893
Tonga,107773
Tunisia,12489526
Turkey,85944093
Turkmenistan,6539354
Tuvalu,11396
Uganda,48960651
Ukraine,37127423
United Arab Emirates,9538336
United Kingdom,67801196
United States,340516190
Uruguay,3423108
Uzbekistan,35312409
Vanuatu,336295
Vatican City State (Holy See),764
Venezuela,28998590
Vietnam,99044978
Virgin Islands (US),98750
Western Sahara,590836
Yemen,34664473
Zambia,20728934
Zimbabwe,16765578